Command;Check With Previous;Check Default Value;Default Value to check
GET IMAGE_POLARITY;N;Y;False
SET IMAGE_POLARITY True;N;N;
GET IMAGE_POLARITY;Y;N;
SET IMAGE_POLARITY False;N;N;
GET IMAGE_POLARITY;Y;N;
GET HDR_SELECTOR;N;Y;0
SET HDR_SELECTOR 2;N;N;
GET HDR_SELECTOR;Y;N;
SET HDR_SELECTOR 0;N;N;
GET HDR_SELECTOR;Y;N;
GET EXPOSURE_TIME;N;Y;150
SET EXPOSURE_TIME 320;N;N;
GET EXPOSURE_TIME;Y;N;
SET EXPOSURE_TIME 300;N;N;
GET EXPOSURE_TIME;Y;N;
GET GAIN;N;Y;8
SET GAIN 9;N;N;
GET GAIN;Y;N;
SET GAIN 8;N;N;
GET GAIN;Y;N;
GET GLOBAL_READING_DISTANCE;N;Y;100
SET GLOBAL_READING_DISTANCE 600;N;N;
GET GLOBAL_READING_DISTANCE;Y;N;
SET GLOBAL_READING_DISTANCE 50;N;N;
GET GLOBAL_READING_DISTANCE;Y;N;
GET GAINMULTIPLIER;N;Y;0
SET GAINMULTIPLIER 7;N;N;
GET GAINMULTIPLIER;Y;N;
SET GAINMULTIPLIER 1;N;N;
GET GAINMULTIPLIER;Y;N;
SAVE HMPConfiguration;N;N;
#Veify GET_INFO
Model name: M220:305-010
MAC address: 00:07:BE:07:08:0A
Serial number: C18P00945
Device name: Matrix
Application version: 1.11.0.35-alpha03
Current Job: temporary job